Year,Resilience Index,Sustainability Index,Development Index,Sea Level Rise,Mangrove Coverage,GDP,Blue Economy Value,Policy Effectiveness
2024,50.0509796,50.403,21.2,0.0,100.0,3.0,1.85,0.254898
2025,49.4443762551995,48.7907,22.654000000000003,0.5,98.72,3.18,1.5586000000000002,0.6418812759975002
2026,48.95126764161051,47.368579999999994,24.12524,1.0,97.45664,3.3708000000000005,1.3523642,1.61637820805255
2027,48.749710187852614,46.24550825,25.615734400000004,1.5,96.20970367999999,3.573048000000001,1.2123496054,4.070345419263091
2028,49.28858476832846,45.63084858125,27.127544264000004,2.0,94.97897753215999,3.787430880000001,1.1248906743818003,10.249898043402348
2029,51.69877009258113,45.924800518906245,28.66278055384001,2.5,93.7642508242419,4.014676732800001,1.080305799522809,25.811177941542805
2030,58.82855528709627,47.890050081385155,30.22360747237041,3.0,92.56531556352675,4.2555573367680015,1.0719613677801698,64.99741791664125
2031,77.85100459945846,52.97791068262052,31.812245922186435,3.5,91.3819664612009,4.510890776974082,1.0956030330467506,163.67576657673447
2032,126.82979426351719,63.94799503698397,33.430977086429316,4.0,90.21400089720528,4.781544223592528,1.1488886368261106,412.1664740411588
2033,251.25322943889267,86.04559578498066,35.08214613844083,4.5,89.0612188855416,5.06843687700808,1.2310756587658722,1037.9129780576131
2034,565.6700200833033,129.23871251231859,36.768166087356896,5.0,87.92342304002956,5.372543089628564,1.3428299014123117,2613.660784823678
2035,1358.5360237867396,212.46840674810818,38.491521767041846,5.5,86.80041854050917,5.694895675006278,1.4861325966940142,6581.691184659156
2036,3356.2381344979553,371.7244799626007,40.25477397609688,6.0,85.69201309948255,6.036589415506655,1.6642712230781833,16573.94069718286
2037,8387.95626930685,675.3892651103778,42.0605637770274,6.5,84.59801692918927,6.398784780437055,1.8819057631857623,41736.31100681303
2038,21059.91134433574,1253.3908337630446,43.91161696302293,7.0,83.5182427091098,6.782711867263278,2.1452074630171207,105099.90884385776
2039,52971.437692825806,2352.5940927216407,45.81074870119228,7.5,82.45250555389137,7.1896745792990755,2.4620718068541683,264661.4080766282
